type_chaussures,prix,adresse,image_lien
Sneakers New Balance 9060,40000.0,"location_onGrand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5168368_uploaded_image1_1738628934.jpg
Chaussures orthopédiques en cuir,,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5166529_uploaded_image2_1738570827.jpeg
Chaussures homme,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5165863_uploaded_image1_1738523413.jpg
Chaussures homme,12000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5165861_uploaded_image1_1738523279.jpg
Chaussures homme,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5165858_uploaded_image1_1738523003.jpg
Chaussures homme,13000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5165856_uploaded_image1_1738522870.jpg
Chaussures hommes,15000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5165752_uploaded_image1_1738519170.jpg
Chaussures hommes,12000.0,"location_onDiamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5165685_uploaded_image1_1738516030.jpg
Chaussures hommes,15000.0,"location_onDiamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5165588_uploaded_image1_1738510508.jpg
Chaussures hommes,15000.0,"location_onDiamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5165587_uploaded_image1_1738510455.jpg
Chaussures Louis Vuitton,20000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5164976_uploaded_image1_1738461387.jpg
Chaussures homme,,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5164401_uploaded_image1_1738425286.jpg
Bottes homme,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5163774_uploaded_image1_1738401744.jpg
Chaussures homme,20000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5115555_uploaded_image1_1735817188.jpg
Chaussures homme,20000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5115549_uploaded_image1_1735816929.jpg
Chaussures New balance,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5160982_uploaded_image1_1738247854.jpg
Chaussures homme,38000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5160860_uploaded_image1_1738243354.jpg
